Step,Fe-N94_dist,Fe-N95_dist,Fe-N96_dist,Fe-N97_dist
1,2.1771241861482737,2.177264300184903,2.1773122845126855,2.177451168528481
2,2.1788025375894895,2.1731649339702024,2.175532421433859,2.1772569095676046
3,2.181850383395847,2.1688905397283063,2.173562384963545,2.1784175679610223
4,2.1861403374907264,2.1646046251374065,2.171555661362857,2.1809119681804146
5,2.191501567166363,2.160492509730648,2.1696600041987963,2.1846877052769194
6,2.1977193803339543,2.1567207101383037,2.167992748959577,2.1896617979403956
7,2.2045357474697482,2.153406695230445,2.166627504360218,2.1957091246815232
8,2.211660314993279,2.150622477274058,2.1656060826538437,2.2026619106326844
9,2.2187919539094794,2.148410199593874,2.164949765899179,2.2103129617793775
10,2.22563867105055,2.1467962045140805,2.1646683650229455,2.218413539270862
11,2.231936236702135,2.145802542337225,2.164775462823324,2.2266672256661546
12,2.2374800164044197,2.1454675488066393,2.165308779914903,2.234751504812752
13,2.242139597486797,2.145792710711176,2.1662959186323816,2.2423506129576
14,2.245866391510586,2.1467500131701502,2.167755360778845,2.249179670059489
15,2.24869388379213,2.148281707891381,2.169689291078373,2.255025363694754
16,2.2507189388963207,2.1503199869299405,2.172073899161418,2.2597670795210365
17,2.2520906438467807,2.1528099115406407,2.174847972221859,2.2634007053120437
18,2.2529872356161826,2.155733497325938,2.1779061860456923,2.266019902474972
19,2.2536084096580775,2.1591391867055774,2.181120197220154,2.267803487768265
20,2.2541581922050247,2.16313638392264,2.1843785091562804,2.2689786397551863
21,2.255658882748576,2.1686971486393993,2.1881960619206615,2.270682357052963
22,2.2572749133059733,2.175153602234708,2.192323462905347,2.2720994466041002
23,2.2591503408866105,2.182369220777955,2.1970666370290237,2.27344036568505
24,2.2613569697165583,2.1901576827257667,2.202654427175943,2.2749702676156716
25,2.2640149641875715,2.1981561501442872,2.2088399124656974,2.2768605661165786
26,2.267236348716467,2.2059441465269267,2.214916063490851,2.2791333997388374
27,2.2711501380062606,2.2126172688215533,2.2194096252634865,2.2818712452770846
28,2.2752295134493674,2.2176740185082187,2.2215402808723703,2.2846658929753314
29,2.2795403755157233,2.221181036315334,2.2210153408198003,2.2875162526084796
30,2.2843582300422396,2.2231699817616275,2.2180694325933157,2.29077719205461
31,2.2895227940788954,2.223533755851141,2.212668233816712,2.294343716316611
32,2.2945112081978363,2.221670791475251,2.204479580651779,2.2977425225693637
33,2.2991245283362716,2.21738687396763,2.1935723903823807,2.300888935530886
34,2.3032066353125575,2.2107021520216974,2.1801869937930167,2.303649654436307
35,2.306601836063594,2.20169884533176,2.1646113744317685,2.3058685080439925
36,2.309166425714386,2.1905153623198674,2.147178452743917,2.307368770303181
37,2.3107761950440895,2.177335494322661,2.1282729953572805,2.3079618380217153
38,2.311334652825923,2.162358944910102,2.10835082923458,2.3074605802885677
39,2.310771503609717,2.145778182993944,2.087922681471982,2.305687400957675
40,2.3090448850598806,2.1277871202127367,2.067567261317111,2.302502912882342
41,2.3061545397077343,2.108620417477541,2.0478803414674074,2.2978075948180585
42,2.3021347111777652,2.0885991510381965,2.0292955867819757,2.2914921936590034
43,2.2970036765461117,2.067968528055896,2.01199465069427,2.2835118135957915
44,2.290795774323066,2.0470589675796345,1.9960079593809639,2.27388989919691
45,2.283562741835475,2.0262748367745536,1.9813466225461167,2.2627058575971404
46,2.2753707664689657,2.0060580980977645,1.968121569729563,2.2500848928541908
47,2.266310644988016,1.9868969250610522,1.9565898515917683,2.2361950858636277
48,2.256478764210566,1.9692492685084155,1.9470529267554522,2.2212045288344897
49,2.2459696757464624,1.953561016866232,1.939866607004558,2.2053082075915937
50,2.234866918461279,1.940233623434821,1.935384965433828,2.188711945515658
51,2.22323063242278,1.9295929012358246,1.9339405572804629,2.1716469391163007
52,2.211199140506765,1.9218726693184933,1.93572947361421,2.1543793014738304
53,2.1988136025559393,1.9171471213827946,1.9409695708950296,2.1371387818335523
54,2.1860757422810995,1.9152909704549483,1.949796485197372,2.120143296688911
55,2.172949702666192,1.9160077021143465,1.9622452544497297,2.1035938202774833
56,2.1593654480728035,1.918924308005819,1.9782049881168149,2.0876713495945047
57,2.1452271875964333,1.9237212875533019,1.9973537536751553,2.072537053489556
58,2.1304359456602864,1.930227483658202,2.0190788829437087,2.0583319695575724
59,2.114917137186388,1.9383881206695865,2.042465849781294,2.0451707403415256
60,2.098635497060384,1.9481501340338836,2.0664514634372155,2.033122659438151
61,2.0816086637116937,1.9593711078985925,2.090179443288175,2.0222037863200937
62,2.063929469699462,1.9717696616233331,2.1132905807309803,2.0123914656076454
63,2.046138863965599,1.984957476101671,2.135866558856747,2.0042183620381375
64,2.0284618761197266,1.9984988885248238,2.1580096035174745,1.9976071284134662
65,2.0111599715572317,2.0120106894168073,2.1797092535602203,1.9924255047719295
66,1.9945448092687015,2.0249606971598504,2.2008394943036365,1.9885458401765457
67,1.9789397381634093,2.0368608550135208,2.2211939176283293,1.9858190541321274
68,1.9646425081362249,2.047333524815312,2.2405291535739105,1.984116108130442
69,1.9519160725580067,2.0561164359245403,2.2586146288749562,1.9833267862702455
70,1.9409860020128864,2.0629581087079,2.2752467218716266,1.983354433887481
71,1.9320315442615565,2.067681219928652,2.2902879277991266,1.9841297565382194
72,1.924415415752948,2.0701511031429467,2.3036296996853167,1.9850797900373374
73,1.9183002145906696,2.0703903219661854,2.315177679098014,1.9861875880880968
74,1.91376850552295,2.0685065444518718,2.324835835499953,1.9874396094460922
75,1.9108431863932016,2.0647033382343816,2.3324826541553723,1.9888337858617307
76,1.9095247920227554,2.0592849133574043,2.337969360322939,1.9903880516915866
77,1.90978420501488,2.0526114135200006,2.341148057278119,1.9921208995538233
78,1.9116372602788272,2.045050146070859,2.3419536657481728,1.994129244671669
79,1.915731845466588,2.0368634272887243,2.340444370502656,1.9967616527931358
80,1.9215366737336703,2.0284201638424073,2.336923909081203,1.9998726535901024
81,1.9293194177541055,2.01957568488442,2.3317211714511337,2.0034183088102715
82,1.9380791069580858,2.010343106121901,2.325073341577175,2.0069756490458603
83,1.948157836678156,2.0006412317756226,2.317099886097356,2.0107337180425437
84,1.9592277256831039,1.9904448173582447,2.307868910829842,2.0145199869251
85,1.970948779796018,1.9797716716172085,2.2974338435489607,2.018156477212684
